"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Company Name","Description","Year Established","Impact","Url","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"EPSRC","EP/K002201/1","Research Grant","Spin Outs","University of Liverpool","Chemistry","Rannard","Steven","","Tandem Nano Ltd","Tandem Nano Ltd is a nanoformulation company aiming to improve the action, delievry, use and behaviour of poorly soluble compounds","2014","Currently negotiating meaningful interactions with numerous global companies","http://www.tandemnano.com/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=545e5d71c4eb79.08211231&grantRef=EP%2FK002201%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/K002201/1","EF50F583-BD95-465E-B283-11BA2F560911","798CB33D-C79E-4578-83F2-72606407192C","A0A585E0-6B0D-4643-A3A6-47943B4CBFEF","DD82B8F7-2993-462C-B5B3-2A50A0CCA662"
"MRC","G0900883","Research Grant","Spin Outs","University of Oxford","RDM Cardiovascular Medicine","Robson","Matthew","","Perspectum Diagnostics","The company has been set-up to rapidly translate liver imaging techniques designed in the university into clinical products used on patients.
To date the company has been capitalised via the private sector and has won a Technology Strategy Board grant.","2012","In March 2014 Perspectum won a Technology Strategy Board grant valued at around &pound;1.2M. In march 2015, Perspectum won a contract with Galectin Therapeutics as part of their phase 2 trial. In June 2015, Perspectum achieved ISO 9001 In July 2015, Perspectum won a Horizon 2020 phase 1 grant to develop their products for children and adolescents with chronic liver disease. In Nov 2015, Perspectum added FDA clearance to its CE-marked product which allows it to sell into the important US clinical market.","http://perspectum-diagnostics.com/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=JASG3YvEhWB&grantRef=G0900883","http://gtr.rcuk.ac.uk:80/projects?ref=G0900883","1BE3AD85-36AD-494A-8203-1CD0523586CE","C008C651-F5B0-4859-A334-5F574AB6B57C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","25BDB559-6247-41CA-AFB9-B58AACD944E0"
"MRC","G0300456","Research Grant","Spin Outs","University of Oxford","Psychiatry","Anthony","Daniel","","Oxford Contrast","The company is seeking to produce targeted contrast agent for use in MRI and PET; http://www.oxfordcontrast.com/","2009","First round funding expected Jan 2010",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=90376A2D9D6&grantRef=G0300456","http://gtr.rcuk.ac.uk:80/projects?ref=G0300456","AE4C0434-3B65-4F0E-83EE-B3BAB556B75B","C008C651-F5B0-4859-A334-5F574AB6B57C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","DE32C476-09A8-4BCA-A101-9312BFB03827"
"EPSRC","EP/J006238/1","Research Grant","Spin Outs","Queen's University of Belfast","Electronics Electrical Eng and Comp Sci","McCanny","John","","SIRONA TECHNOLOGIES LTD","PUF, meaning Physical Unclonable Functions, is a new cryptographic technology which produces fingerprints for electronic devices. PUFs generate unique outputs that are dependent on the device they are running on. PUFs can be used as a lightweight trust anchor for chips. A spinout from Queen's Centre for Secure Information Technologies (CSIT) has been working with PUF technology to develop something extraordinary. Sirona Technologies was founded at the end of 2015 by a trio of researchers Neil Hanley, Maire O'Neill, and Chongyan Gu. They've invented a tiny semiconductor IP core that provides strong, unique authentication for even the cheapest microchip. It means that any grade of device can have the highest grade of security.
By 2020 the Internet of Things is projected to consist of 50 billion connected devices, and the slew of data generated by smart devices and sensors is increasingly processed without human interaction. Widespread machine-to-machine (M2M) communications require trust between the underlying hardware devices, to ensure safety and security. Counterfeiting and refurbishing of electronic parts globally is a widespread problem, and the market to prevent it reaches in the billions. In 2020 the Internet of Things will be a $1.2 trillion market.","2016","PicoPUF (aka Sirona Technologies Ltd), a CSIT spinout new venture, has been awarded NISPConnect's prestigious INVENT Award grand prize. The INVENT competition, in partnership with Bank of Ireland UK, is an opportunity for anyone with an innovative concept to be recognized as Northern Ireland's next big thing. As well as winning the Electronics category the concept was also awarded the overall grand prize. PicoPUF was deemed by judges to have the most innovative product with the biggest global commercial potential.","https://www.csitlabs.com/2015/11/02/csits-picopuf-triumphs-at-2015-invent-awards/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56def32c8b8360.53489666&grantRef=EP%2FJ006238%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/J006238/1","585E922D-4E61-4563-9AD7-B94458B2B099","798CB33D-C79E-4578-83F2-72606407192C","EC23DA53-CA73-4104-A3F6-2A9523484E69","F05D1A0D-8915-416E-A0EC-E52C826BE888"
"EPSRC","EP/J006238/1","Research Grant","Spin Outs","Queen's University of Belfast","Electronics Electrical Eng and Comp Sci","McCanny","John","","TITAN IC SYSTEMS LIMITED","Titan IC Systems is a world leader in the development of hardware engines for content and network processing. The solutions offered include Regular Expression Processor (RXP) and Parallel String Matcher (PSM) for use in all aspects of network security including: Intrusion Detection/Prevention, application detection, anti-virus, and content/URL filtering. 
Titan IC Systems has a large portfolio of network and network security related intellectual property, based on research conducted over the past five years at ECIT. This research has been focused on the underlying processing architectures and silicon technologies, essential for supporting secure, high quality streaming services. Titan IC Systems innovation lies in the ability to perform fast and parallel pattern matching and regular expression processing at speeds of up to 40Gb/s.","2007","Titan IC Systems is delivering new benchmarks in both flexibility and performance for content inspection and network processing hardware. The unique technology capability offers customers the ability to perform regular expression processing and pattern matching acceleration at speeds of a few 100Mb/s up to 40Gb/s utilising a fully scalable, flexible and parallel architecture. This revolutionary new technology is capable of processing multiple characters and multiple regular expressions in parallel as concurrent tasks on several processing engines. Selected as one of the UK's 12 most exciting technology start-ups and invted to pitch their business at Number 10 Downing Street. Atracted &pound;850k of funding via venture capital investments in 2015.","http://www.titanicsystems.com/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56dee308eb1f62.81642970&grantRef=EP%2FJ006238%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/J006238/1","585E922D-4E61-4563-9AD7-B94458B2B099","798CB33D-C79E-4578-83F2-72606407192C","EC23DA53-CA73-4104-A3F6-2A9523484E69","F05D1A0D-8915-416E-A0EC-E52C826BE888"
"EPSRC","EP/F013930/1","Research Grant","Spin Outs","University of Cambridge","Engineering","Young","Stephen","","VocalIQ Limited","VocalIQ is a spin-out company from the Spoken Dialogue Systems Group at University of Cambridge, UK. Still based in Cambridge, the company builds a platform for voice interfaces, making it easy for everybody to voice enable their devices and apps. Example application areas include smartphones, robots, cars, call-centres, and games. They are funded by Amadeus Capital and Cambridge Enterprise.","2011","Contracts with General Motors and Jaguar LandRover to develop state of the art voice-driven systems.","http://www.vocaliq.com","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=54317d1c88eaa6.08265329&grantRef=EP%2FF013930%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/F013930/1","8495002F-7C5A-4556-99D8-BDB530C11D14","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","752EB7CE-19A3-4739-ABCF-DDB8033C01F7"
"EPSRC","EP/D07908X/1","Research Grant","Spin Outs","University of Manchester","Computer Science","Furber","Stephen","","Cogniscience Ltd","Owns the SpiNNaker IP","","Receives royalties on SpiNNaker sales.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56d1d715869ef4.93885993&grantRef=EP%2FD07908X%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/D07908X/1","47C8922D-F2EC-4ED4-B8CB-AF72371E2539","798CB33D-C79E-4578-83F2-72606407192C","68D0E3C9-9246-4CFC-B5E9-48584CF82993","E7015D6B-3846-4E4F-A5BB-CBF9B025EB07"
"EPSRC","EP/G004773/1","Research Grant","Spin Outs","Durham University","Chemistry","Parker","David","","FScan Ltd","Healthcare/Diagnostics: seeking licensing deals and developing commercial opportunities to exploit lanthanide technology for screening and diagnosis.","2009","Licensing deal agreed with Glide Pharma in July 2014, to develop the use of citrate as a diagnostic marker in cancer. Clinical trial underway with UCLH.","http://www.fscanltd.com","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=m-4806365244.84154313307032&grantRef=EP%2FG004773%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/G004773/1","B8F181F9-B5AE-415F-B3D0-E2F83474D046","798CB33D-C79E-4578-83F2-72606407192C","46B41008-0EB4-4E28-BBFB-E98366999EC5","DE38C546-670D-43A2-9DDC-B7C33D7F62AA"
"MRC","G0800247","Research Grant","Spin Outs","University of Liverpool","Biomedical Sciences","Owen","Andrew","","Tandem Nano Ltd","Tandem Nano Ltd is a nanoformulation company aiming to improve the action, delievry, use and behaviour of poorly soluble compounds","2014","Currently negotiating meaningful interactions with numerous global companies","http://www.tandemnano.com/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=545e5d71c4eb79.08211231&grantRef=G0800247","http://gtr.rcuk.ac.uk:80/projects?ref=G0800247","E2758D74-07B7-4DD4-8332-D1C43E3D2C48","C008C651-F5B0-4859-A334-5F574AB6B57C","A0A585E0-6B0D-4643-A3A6-47943B4CBFEF","82CB5BD9-215B-45DE-9EB0-07E1554FB31F"
"MRC","MC_PC_12011","Intramural","Spin Outs","University of Birmingham",,"Frampton","Jon","","Serascience Ltd","Serascience Limited is a specialist cancer diagnostic company established in April 2011 to develop medical devices for the diagnosis and management of patients with myeloma and related disorders, collectively known as B-cell dyscrasias. Our innovative products will improve patient management through better diagnostic and prognostic assessment.
Serascience supply a broad range of class and subclass specific anti immunoglobulin antibodies, for research use. We offer unique, highly specific, quality antibodies at a competitive price. Our catalogue includes monoclonal antibodies for all immunoglobulins classes, and a number of subclasses, as well as antibodies to the heavy and light chains of immunoglobulins. These antibodies can be used for an array of applications and assays, such as WB (Western blots), ELISAs (Enzyme-linked immunosorbent assays), IP (Immuneprecipitation), IHC (Immunohistochemistry), ICC (Immunocytochemistry), and flow cytometry.","2011","In Oct 2014, Abingdon Health, the specialist rapid diagnostic technology company, announced the acquisition of Serascience Limited and the completion of group fund-raising of &pound;2.1m from current shareholders. The acquisition represents a further development in Abingdon Health's strategy to create a leading innovative global diagnostic company. This follows on from a project joint funded by CiC and Serascience, and a move by the postdoc working on this project, from UoB to Serascience.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=5461f220a55917.20939529&grantRef=MC_PC_12011","http://gtr.rcuk.ac.uk:80/projects?ref=MC_PC_12011","089A0A37-0A7C-49CC-8F7D-D1516DBEAE79","C008C651-F5B0-4859-A334-5F574AB6B57C","818CD6C9-61EE-41F2-9F37-0C7A8F43E25D","E8EE1BC9-799D-4921-8C12-8689B9552A74"
"EPSRC","EP/H018190/1","Research Grant","Spin Outs","Heriot-Watt University","Sch of Engineering and Physical Science","Reid","Derryck","http://orcid.org/0000-0002-0385-4939","Chromacity Ltd.","Manufacturer of tunable femtosecond lasers for life sciences and spectroscopy.","2013","Employment of 4 staff. Commercialisation of a one-box femtosecond OPO (tunable mid-IR laser).","http://www.chromacitylasers.com","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56ddc43fcc3788.10650938&grantRef=EP%2FH018190%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/H018190/1","EFF14633-DEFD-4CDE-B72F-DD093A3DB1D0","798CB33D-C79E-4578-83F2-72606407192C","E5A82D2C-5AD4-488A-ACFF-566345A5D6DA","3B2418B3-CF5F-411F-A9F0-BFCAAAB39CFE"
"MRC","MC_U105178803","Intramural","Spin Outs","MRC Laboratory of Molecular Biology",,"Gait","Michael","","Sophos Therapeutics","As yet a paper company ready to exploit cell penetrating peptides for DMD and other diseases; NULL","2008","The company was disbanded in 2011 as it was not regarded as serving a useful purpose",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=7906FD86604&grantRef=MC_U105178803","http://gtr.rcuk.ac.uk:80/projects?ref=MC_U105178803","72EA8F86-51A9-4F6F-8F0A-CA3F1D6909FD","C008C651-F5B0-4859-A334-5F574AB6B57C","AB7C0822-BBCB-4C61-85EC-5D13C7A31759","117CE4DE-3A10-4A07-89DD-E3BD8F8FA6BC"
"EPSRC","EP/H025952/1","Research Grant","Spin Outs","University of Oxford","Materials","Morton","John","","Q & I Ltd","Quantum technology consultancy","2015","N/A","http://www.qandi.co.uk","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56ddb2a9562dd3.05093739&grantRef=EP%2FH025952%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/H025952/1","62672108-D8F9-4124-A9C9-E66A5169E06D","798CB33D-C79E-4578-83F2-72606407192C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","5A620F3F-46E8-4494-8E42-A6565C0D0060"
"NERC","NE/J011444/1","Research Grant","Spin Outs","Newcastle University","Sch of Biology","Wolff","Kirsten","","Bioprofiles Ltd","DNA fingerprinting (genotyping) of trees, in relation to subsidence","","Aided the insurance companies and arboricultural consultants to take the right decision regarding pruning trees.","http://www.bioprofiles.co.uk","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56af9ad02becb4.03463219&grantRef=NE%2FJ011444%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=NE/J011444/1","10296CC0-3E4A-46F3-AA8B-F90D38E332F2","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","5ADF2C5C-2FDE-4AFA-9632-1C0D8EBAE6EC"
"MRC","MC_G0802530","Intramural","Spin Outs","University of Bristol",,"Peters","Timothy James","","Cotton Mouton Diagnostics Ltd.","CMD is a South Wales start-up company spun out of the Universities of Exeter and Cardiff to exploit major business opportunities in the field of point-of-care (PoC) diagnostics.","2015","TBC","http://www.cmdiagnostics.co.uk/","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56dea41d9eb6f1.84961474&grantRef=MC_G0802530","http://gtr.rcuk.ac.uk:80/projects?ref=MC_G0802530","8902FE28-0B7A-4382-8088-E611A1992EAA","C008C651-F5B0-4859-A334-5F574AB6B57C","4A348A76-B2D0-4DDD-804A-CE735A6D3798","76FC6962-8CDC-4ACB-96BE-F9FB63D9B0DA"
"EPSRC","EP/M015165/1","Research Grant","Spin Outs","University of Leeds","Chemical and Process Engineering","Jose","Gin","","Ultramatis Ltd","The company was established based on the proof of concept study supported by EPSRC IAA fund. The postdoctoral fellow fellow worked in this project is currently the CTO of the company. He won the Royal Academy of Engineering ERA Entrepreneurship award for the novel anticounterfeiting technology developed by it.","2014","The company has secure &pound;100k funding this year (2016) from the investor IP Group and is engaging with a number of bottle manufacturers/packaging companies for the application of its technology for their products. Dr. Matthew Murray who was the post-doctoral researcher with me has become the CTO of the company from 1 January 2016. He won the Royal Academy of Engineering ERA Entrepreneurship award for the novel anticounterfeiting technology developed by him in my research group.","http://www.ultramatis.com","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56cd98958b81c1.29043635&grantRef=EP%2FM015165%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/M015165/1","46BE6758-D1FD-4993-AA2A-F92DBFD2D8DA","798CB33D-C79E-4578-83F2-72606407192C","83D87776-5958-42AE-889D-B8AECF16B468","D8D542D7-B937-423B-BB10-89F363875AE4"
"EPSRC","EP/M015165/1","Research Grant","Spin Outs","University of Leeds","Chemical and Process Engineering","Jose","Gin","","Glucosense Diagnostics Ltd","Glcuosense's objective us to develop non-invasive blood glucose monitor for the continuous measurement of blood glucose levels.","2013","This company also played great part in the AIM listing of the parent company NetScientific and their investment portfolio of over &pound;30M. The glucosense device has attracted a lot of media attention since July 2015. BBC, Sky News, ITV, Yorshire Radio, BBC Radio Leeds, Asianet News, All India Radio and a number of other visual, radio, print and online media reported it all around the world.","http://www.glucosense.net","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=PMfUpkuZkGJ&grantRef=EP%2FM015165%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/M015165/1","46BE6758-D1FD-4993-AA2A-F92DBFD2D8DA","798CB33D-C79E-4578-83F2-72606407192C","83D87776-5958-42AE-889D-B8AECF16B468","D8D542D7-B937-423B-BB10-89F363875AE4"
"MRC","MR/J010901/1","Research Grant","Spin Outs","University of Edinburgh","MRC Centre for Inflammation Research","Haslett","Christopher","","Edinburgh Molecular Imaging","SME that is focussing on Optical Molecular Imaging and the rapid commercialisation of in vivo optical imaging agents for human disease","2014","Raised &pound;4M Series A. Awarded Innovate UK award.","http://www.edinimage.com","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=spinout&outcomeId=56db533dd03a98.30306163&grantRef=MR%2FJ010901%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=MR/J010901/1","65A50BF7-5CB0-4E68-BDAA-EF4DE6784FA8","C008C651-F5B0-4859-A334-5F574AB6B57C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","670260BC-6C2F-4969-AC3A-605AC2879977"
