"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Type","Current Stage of Development","Clinical Trial?","UKCRN/ISCTN ID","Year Development Stage Completed","Development Status","Description","Impact","Url","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"MRC","MC_U117588499","Intramural","Products Interventions & Clinical Trials","MRC National Inst for Medical Research",,"Wilkinson","Robert","","Prednisone","Therapeutic Intervention - Drug","Early clinical assessment","Yes","21322548","2008","Under active development/distribution","A randomised controlled trial of prednisone versus placebo for HIV-tuberculosis associated immune reconstitution inflammatory syndrome (TB-IRIS)","Corticosteroid thereapy reduced the need for hospitalisation and medical intervention and improved radiographic and symptom scores. However the occurrence of TB-IRIS in the context of drug resistant isolates of M. tuberculosis is a relative contraindication to corticosteroid therapy",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=DC52488711B&grantRef=MC_U117588499","http://gtr.rcuk.ac.uk:80/projects?ref=MC_U117588499","DC6BFAFB-A664-45D4-BBE4-D21425685BB1","C008C651-F5B0-4859-A334-5F574AB6B57C","02ECE3B0-F864-4593-BCE9-348E204E2058","06275759-9B2A-4F0A-93EE-547BA553E01A"
"MRC","G7900510","Research Grant","Products Interventions & Clinical Trials","University College London","Unlisted","Pepys","Mark","","CPHPC","Therapeutic Intervention - Drug","Early clinical assessment","Yes","NCT01406314","2006","Under active development/distribution","My research supported by the MRC Programme Grant since 1979 first identified serum amyloid P component as a potential therapeutic target in amyloidosis and Alzheimer's disease. I designed a high throughput screen for inhibitors of ligand binding by serum amyloid P component and, in collaboration with Roche, 100,000 compounds in their library were screened. The best lead was developed into a drug which was eventually licensed exclusively to myself and UCL for clinical testing in humans. I discovered that it had a completely novel pharmacological mechanism of action which caused rapid and almost total depletion of circulating serum amyloid P component. This was reported in Nature in 2002 and received major coverage in the scientific and lay media, including mainstream BBC, ITV, US and European television and radio. It was identified by the American Chemical Society as one of the medicinal chemistry highlights of 2002. My invention of the mechanism responsible is covered by granted patents.","Our first into man open label phase 2 study in systemic amyloidosis showed promising signs of clinical efficacy. Our open label first clinical study in Alzheimer's disease showed complete safety and dramatic biochemical efficacy in depleting SAP from the CSF. We have now out licensed CPHPC to GSK as part of the package for treatment of systemic amyloidosis by my newly invented approach detailed separately. Other workers have used my approach to design drugs targeting cholera and shiga toxins, while I have used it to design successfully the first inhibitor of human C-reactive protein, as reported in another entry in this form. The same strategy also led to our novel drugs targeting transthyretin for treatment and prevention of transthyretin amyloidosis.","http://clinicaltrials.gov/show/NCT01406314","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=A6F883044CC&grantRef=G7900510","http://gtr.rcuk.ac.uk:80/projects?ref=G7900510","FA4479B9-FFED-4BD0-9294-CA32EEAC4047","C008C651-F5B0-4859-A334-5F574AB6B57C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","72A324FF-B975-443D-BDD8-19E9649401E7"
"MRC","G0900040","Research Grant","Products Interventions & Clinical Trials","University of Bath","Department for Health","Stathi","Afroditi","","Project REACT: REtirement in ACTion","Preventative Intervention - Physical/Biological risk modification","Refinement.  Non-clinical","Yes",,"2016","Under active development/distribution","The primary aim of the REACT study is to assess the effectiveness and cost-effectiveness of a
community-based physical activity intervention for reducing the progression of mobility-related
functional limitations in older people who are at high risk of transition from independence to mobility related
disability.

Funder: National Health Research Institute: Public Health Research Programme.
Project Reference Number: 13/164/51","n/a","http://www.bath.ac.uk/health/research/projects/retirement-in-action","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=56c1ef453aae25.02551696&grantRef=G0900040","http://gtr.rcuk.ac.uk:80/projects?ref=G0900040","D2AC5A4B-6E17-4C5F-9304-B2F9798DC988","C008C651-F5B0-4859-A334-5F574AB6B57C","EAAD4D43-BD15-432B-9385-2DBD0C65958D","FB86C923-B600-4AE9-976F-5D462DF95289"
"MRC","G0601483","Research Grant","Products Interventions & Clinical Trials","King's College London","Inst of Psychiatry School Offices","Moffitt","Terrie","","genetic method fo rassessing predispostion to antisocial disorders","Diagnostic Tool - Non-Imaging","Small-scale adoption","",,"2006","On hold","MAOA genotype to assess predisposition to antisocial disorders and violence after maltreatment","Use in criminal courts in USA",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=EF68751F8FE&grantRef=G0601483","http://gtr.rcuk.ac.uk:80/projects?ref=G0601483","15B39403-25BE-4D68-AE6E-A4F58F7CE728","C008C651-F5B0-4859-A334-5F574AB6B57C","318B5D98-4CB4-4B10-A876-08FC93071A56","69CEC3C8-0F37-472D-833A-A435BC2878D6"
"MRC","G0601483","Research Grant","Products Interventions & Clinical Trials","King's College London","Inst of Psychiatry School Offices","Moffitt","Terrie","","DSM-IV and DSM-V conduct disorder subtype criterion","Diagnostic Tool - Non-Imaging","Refinement.  Clinical","",,"2010","Under active development/distribution","Our research has lead the field of child psychiatry to recognise childhood-onsert versus adolescent-onset as the subtyping scheme for Conduct Disorder encoded in the DSM-4 and DSM-5 diagnostic systems of the American Psychaitric Association","Worldwide method for diagnosing conduct disorder in children",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=72CF430144B&grantRef=G0601483","http://gtr.rcuk.ac.uk:80/projects?ref=G0601483","15B39403-25BE-4D68-AE6E-A4F58F7CE728","C008C651-F5B0-4859-A334-5F574AB6B57C","318B5D98-4CB4-4B10-A876-08FC93071A56","69CEC3C8-0F37-472D-833A-A435BC2878D6"
"MRC","MC_U122886353","Intramural","Products Interventions & Clinical Trials","MRC Clinical Trials Unit",,"Gibb","Diana","","CHAPAS 3 ABC/3TC 120/60mg","Therapeutic Intervention - Drug","Late clinical evaluation","Yes","ISRCTN69078957","2010","Under active development/distribution","Abamune Junior 120/60mg is in the updated WHO 2013 guidelines for children as an urgently needed formulation. This product has been used in the CHAPAS 3 trial in which data on pharmacokinetics, adherance and acceptability has been collected","This product will simplify dosing in children","http://www.controlled-trials.com/ISRCTN69078957","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=WYHUShzEJ47&grantRef=MC_U122886353","http://gtr.rcuk.ac.uk:80/projects?ref=MC_U122886353","57051FA7-7F78-44E0-AB60-DF079A648704","C008C651-F5B0-4859-A334-5F574AB6B57C","666A7C6D-E59C-4C37-8997-490B93914C41","58B69503-B9E3-43E3-AEB2-82D521E4C95E"
"MRC","MC_U122886353","Intramural","Products Interventions & Clinical Trials","MRC Clinical Trials Unit",,"Gibb","Diana","","CHAPAS 3 - Efavirenz double scored tablets","Therapeutic Intervention - Drug","Late clinical evaluation","Yes","ISRCTN69078957","2012","Under active development/distribution","Efavirenz 600mg tablets scored once on one side and twice on the other side have been developed by CIPLA Ltd to enable dosing using one tablet from childhood through to adulthood. These tablets have been evaluated in the CHAPAS 3 trial using weight band based dosing for pharmacokinetics and their acceptability to children and carers. These tablets are also now being used in the REALITY trial to treat both children and adults.","This product has the potential to greatly simplify ART provision to both adults and children","http://www.controlled-trials.com/ISRCTN69078957","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=RMvWMtETk8m&grantRef=MC_U122886353","http://gtr.rcuk.ac.uk:80/projects?ref=MC_U122886353","57051FA7-7F78-44E0-AB60-DF079A648704","C008C651-F5B0-4859-A334-5F574AB6B57C","666A7C6D-E59C-4C37-8997-490B93914C41","58B69503-B9E3-43E3-AEB2-82D521E4C95E"
"MRC","MC_U122886353","Intramural","Products Interventions & Clinical Trials","MRC Clinical Trials Unit",,"Gibb","Diana","","CHAPAS 2 Kaletra minitabs","Therapeutic Intervention - Drug","Early clinical assessment","Yes","ISRCTN01946535","2011","Under active development/distribution","Lopinavir/Ritonavir in a novel minitabs sprinkle formulation have been developed by CIPLA Ltd.","CHAPAS 2 showed that minitabs were comparable with syrup in terms of pharmacokinetics and were more acceptable than syrups for younger children who are unable to take tablets.","http://www.controlled-trials.com/ISRCTN01946535","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=SE2WhY3o5Co&grantRef=MC_U122886353","http://gtr.rcuk.ac.uk:80/projects?ref=MC_U122886353","57051FA7-7F78-44E0-AB60-DF079A648704","C008C651-F5B0-4859-A334-5F574AB6B57C","666A7C6D-E59C-4C37-8997-490B93914C41","58B69503-B9E3-43E3-AEB2-82D521E4C95E"
"MRC","G0400031","Research Grant","Products Interventions & Clinical Trials","Durham University","Biological and Biomedical Sciences","Lindsay","Steven","","Trial registration number - House screening","Therapeutic Intervention - Physical","Small-scale adoption","Yes","ISRCTN51184253","2008","Under active development/distribution","Screening for windows, doors and ceilings","House screening reduced anaemia in children by 50%. This could represent a similar reduction in mortality in children under 2 years old in sub-Saharan Africa.","http://www.controlled-trials.com/ISRCTN51184253","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=KA7MR45mr3W&grantRef=G0400031","http://gtr.rcuk.ac.uk:80/projects?ref=G0400031","B9B15F7C-3147-42BB-A88D-D7D740D4B923","C008C651-F5B0-4859-A334-5F574AB6B57C","46B41008-0EB4-4E28-BBFB-E98366999EC5","DF253582-1A1F-490E-9D13-5EC98383748B"
"MRC","MR/K00414X/1","Research Grant","Products Interventions & Clinical Trials","University of Birmingham","Immunity and Infection","Lord","Janet","","STAG: 11BHSD1 inhibition for improved bone density","Therapeutic Intervention - Drug","Early clinical assessment","Yes",,"2016","Under active development/distribution","The 11bHSD1 inhibitor is being tested in a phase 2 placebo controlled RCT to improve bone density if postmenopausal women. Birmingham is one of the recruitment sites, the study is led by Leeds.","None yet as still in testing.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=56dc5a2c3f37f2.65164354&grantRef=MR%2FK00414X%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=MR/K00414X/1","D5168AF4-27D1-41C7-BBEB-DBF05ACA4224","C008C651-F5B0-4859-A334-5F574AB6B57C","818CD6C9-61EE-41F2-9F37-0C7A8F43E25D","9E21D5F7-A4F1-4AEA-9557-0A93286B0865"
"MRC","G0802070","Research Grant","Products Interventions & Clinical Trials","University of Birmingham","Sport, Exercise & Rehabilitation Science","Eves","Frank","","Refinement of two previous stair climbing campaigns","Therapeutic Intervention - Psychological/Behavioural","Refinement.  Non-clinical","",,"2011","Under active development/distribution","Improvements to previously developed heart health and calorific expenditure campaigns","very positove feedback in focus groups",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=ebP6oCJPXHV&grantRef=G0802070","http://gtr.rcuk.ac.uk:80/projects?ref=G0802070","7514860F-F707-4CD3-A82E-B9398E36BE3B","C008C651-F5B0-4859-A334-5F574AB6B57C","818CD6C9-61EE-41F2-9F37-0C7A8F43E25D","12DAEE25-84B2-42BE-AB19-6DEF17FE9B82"
"MRC","G0802070","Research Grant","Products Interventions & Clinical Trials","University of Birmingham","Sport, Exercise & Rehabilitation Science","Eves","Frank","","New multi-component stair climbing campaign","Preventative Intervention - Behavioural risk modification","Initial development","",,"2013","Under active development/distribution","Incremental calorific expenditure messages for separate floors of a workplace. Extends Lewis &amp; Eves (2011) public access research to the workplace.","None to date",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=tdPQFRrJnSn&grantRef=G0802070","http://gtr.rcuk.ac.uk:80/projects?ref=G0802070","7514860F-F707-4CD3-A82E-B9398E36BE3B","C008C651-F5B0-4859-A334-5F574AB6B57C","818CD6C9-61EE-41F2-9F37-0C7A8F43E25D","12DAEE25-84B2-42BE-AB19-6DEF17FE9B82"
"MRC","G0700763","Research Grant","Products Interventions & Clinical Trials","University of Nottingham","School of Life Sciences","Shams Nateri","Abdolrahman","","Novel beta-Catenin-Interacting Protein no.1 (CIP1): Expression, Function and Regulation in Cancer cells & Cancer therapy","Support Tool - For Fundamental Research","Refinement.  Non-clinical","",,"2013","Actively seeking support","There are no reports on the in vivo function of CIP1, while we are currently striving for obtaining substantial knowledge of the regulatory circuitry of adult intestinal epithelial stem cells. Recent studies have revealed that intestinal/colon tumour contain CIP-1-cancer stem cells as counterparts of CIP1-CBCs in normal intestine and CIP1 exerts its influence on intestinal homeostasis through regulation of RNA-splicing and miRNAs biosynthesis. Currently we secured an international studentship for running this project and actively seeking funding from other resources.","The proposed project will provide a better general understanding of how stem cells are regulated in the intestine and other tissues as well as how tissue homeostasis and tumorigenesis is maintained. This will benefit the scientific community.the most direct pathway to impact for this type of research is publication of the scientific findings in the lead academic journals in the field. This includes publications in Cancer Cell, J Exp Med, and Nature BioTechnology and in the pubmed database.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=Fb2xC4tMMZP&grantRef=G0700763","http://gtr.rcuk.ac.uk:80/projects?ref=G0700763","58937942-87D2-48CA-AD90-C807BA602001","C008C651-F5B0-4859-A334-5F574AB6B57C","936D002F-A8D1-4A93-AE5D-825ED0903D8D","960AD25E-A1F2-4858-9F44-74187F3AC17F"
"MRC","MC_UP_A900_1124","Intramural","Products Interventions & Clinical Trials","MRC Unit, The Gambia",,"Howie","Stephen","","Oxygen delivery system","Therapeutic Intervention - Medical Devices","Refinement.  Non-clinical","",,"2012","Under active development/distribution","A novel oxygen delivery system for use in developing country health facilities is under development. Funding has been secured under the MRC DPFS scheme to pursue this further","This product represents a development from earlier oxygen delivery work that has improved patient care in more than one health facility in The Gambia. The ultimate aim is to contribute to mortality reduction",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=jB1gHyfwhZ4&grantRef=MC_UP_A900_1124","http://gtr.rcuk.ac.uk:80/projects?ref=MC_UP_A900_1124","974B7FB4-3224-4B3C-8013-E29A7B454F26","C008C651-F5B0-4859-A334-5F574AB6B57C","6083E7FB-0220-4F5F-97B0-7F6113B49A0C","A968BFB6-F210-44CD-8F3F-123B43B8414F"
"EPSRC","EP/H012958/1","Research Grant","Products Interventions & Clinical Trials","University of Ulster","Sch of Computing & Intelligent Systems","Coyle","Damien","http://orcid.org/0000-0002-4739-1040","EEG-based BCI assessment of awareness","Diagnostic Tool - Imaging","Early clinical assessment","",,"2014","Under active development/distribution","A product prototype (complete package) is in development and the technology has been tested with a number of patients with ongoing trails. Request for further trials with end users have been requested based on the impact of ongoing trials.","Improvement in understanding levels of awareness in patient with disorders of concious ness has led to improved diagnosis resulting in change of care.","http://isrc.ulster.ac.uk/dcoyle/news.html","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=54624f3f5ae6f5.74632243&grantRef=EP%2FH012958%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/H012958/1","DCE441EF-E260-4F1D-B07A-D9BC663241FF","798CB33D-C79E-4578-83F2-72606407192C","245EB81A-808F-4697-BAED-263C20266B74","3014924B-B29A-4135-A833-5C695EC6AE6A"
"MRC","G0400874","Research Grant","Products Interventions & Clinical Trials","University of Glasgow","College of Medical, Veterinary &Life Sci","Connell","John","","Corticosteroid analysis in cardiovascular disease","Diagnostic Tool - Non-Imaging","Initial development","",,"2008","Actively seeking support","LCMS assay of corticosteroids and genotyping assay to stratify patients with cardiovascular disease to identify response to targetted therapy.","In development.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=D6A13A8C9D5&grantRef=G0400874","http://gtr.rcuk.ac.uk:80/projects?ref=G0400874","DA83FEF0-EAED-497C-8C8A-DC1FEDB8D186","C008C651-F5B0-4859-A334-5F574AB6B57C","AE58F21F-3622-4382-97BB-1359BD183E9F","BE472DEB-6927-424B-963A-AD416F2621A4"
"MRC","MC_U127561093","Intramural","Products Interventions & Clinical Trials","MRC Human Genetics Unit",,"FitzPatrick","David","http://orcid.org/0000-0003-4861-969X","SOX2 as a major causative gene in bilateral eye malformations","Diagnostic Tool - Non-Imaging","Refinement.  Clinical","",,"2009","Under active development/distribution","We identified SOX2 as the major cauative gene in bilateral eye malformations causing blindness","This test is now used throughout the world in DNA diagnostic laboratories.","http://www.ncbi.nlm.nih.gov/books/NBK1300/?report=reader","http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=productintervention&outcomeId=E9593268606&grantRef=MC_U127561093","http://gtr.rcuk.ac.uk:80/projects?ref=MC_U127561093","87A302AA-56E1-4E01-A4FA-C4BF4C91F136","C008C651-F5B0-4859-A334-5F574AB6B57C","2AFC5CFA-103A-40EE-8058-B8A79D2095DA","DFB423E1-0619-40EC-8CC6-E272A494EB7E"
