"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Description","Protection","IP Reference","Year Protection Granted","Licensed?","Impact","Url","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"EPSRC","EP/E01707X/1","Research Grant","Intellectual Property","Queen's University of Belfast","Electronics Electrical Eng and Comp Sci","Fusco","Vincent","","Class E power amplifier circuit and associated transmitter circuits","See also EP1580879","Patent granted","US7321263","","No",,,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=m-4613462076.1624187668f7c8&grantRef=EP%2FE01707X%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/E01707X/1","BB9862A6-2712-471D-82EE-0251A48899CF","798CB33D-C79E-4578-83F2-72606407192C","EC23DA53-CA73-4104-A3F6-2A9523484E69","93C58F4A-852D-4932-8ED6-25B87D43C4EE"
"EPSRC","EP/M019918/1","Research Grant","Intellectual Property","University of Oxford","Engineering Science","Newman","Paul","","Dense disparity estimation for stereo vision","Pedro Pinies, Lina Paz and Paul Newman Dense disparity estimation for stereo vision Not registered yet. Not licensed yet.","Copyrighted (e.g. software)",,"","No","Pedro Pinies, Lina Paz and Paul Newman &quot;Dense disparity estimation for stereo vision&quot; Not registered yet. Not licensed yet.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56e043714b0655.29883523&grantRef=EP%2FM019918%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/M019918/1","C492A5EF-0142-40B3-8914-04A56084F92A","798CB33D-C79E-4578-83F2-72606407192C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","C74C9612-26CA-4D91-B65F-260FD21EB7A4"
"EPSRC","EP/M019918/1","Research Grant","Intellectual Property","University of Oxford","Engineering Science","Newman","Paul","","Vote 3D 2.0","Dominic Wang, Ingmar Posner and Paul Newman Vote 3D 2.0 Not registered yet. Not licensed yet.","Copyrighted (e.g. software)",,"","No","Dominic Wang, Ingmar Posner and Paul Newman &quot;Vote 3D 2.0&quot; Not registered yet. Not licensed yet.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56e0458b0a6d22.19115369&grantRef=EP%2FM019918%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/M019918/1","C492A5EF-0142-40B3-8914-04A56084F92A","798CB33D-C79E-4578-83F2-72606407192C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","C74C9612-26CA-4D91-B65F-260FD21EB7A4"
"EPSRC","EP/M019918/1","Research Grant","Intellectual Property","University of Oxford","Engineering Science","Newman","Paul","","Parsing Traffic Lights","Dan Barnes, William Maddern and Ingmar Posner Parsing Traffic Lights Not registered yet. Not licensed yet.","Copyrighted (e.g. software)",,"","No","Dan Barnes, William Maddern and Ingmar Posner &quot;Parsing Traffic Lights&quot; Not registered yet. Not licensed yet.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56e045495ad654.07916299&grantRef=EP%2FM019918%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/M019918/1","C492A5EF-0142-40B3-8914-04A56084F92A","798CB33D-C79E-4578-83F2-72606407192C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","C74C9612-26CA-4D91-B65F-260FD21EB7A4"
"EPSRC","EP/M019918/1","Research Grant","Intellectual Property","University of Oxford","Engineering Science","Newman","Paul","","Label Projection from Semantic Map Priors","Dan Barnes, William Maddern and Ingmar Posner Label Projection from Semantic Map Priors Not registered yet. Not licensed yet.","Copyrighted (e.g. software)",,"","No","Dan Barnes, William Maddern and Ingmar Posner &quot;Label Projection from Semantic Map Priors&quot; Not registered yet. Not licensed yet.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56e0456dcc9782.71654251&grantRef=EP%2FM019918%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/M019918/1","C492A5EF-0142-40B3-8914-04A56084F92A","798CB33D-C79E-4578-83F2-72606407192C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","C74C9612-26CA-4D91-B65F-260FD21EB7A4"
"MRC","MC_UU_12009/17","Intramural","Intellectual Property","University of Oxford",,"Rabbitts","Terence","","Biomarker and Therapeutic Target for Sarcoma","The present invention relates to sarcoma. Provided are molecules and methods for detecting and treating sarcoma in a subject. Kits and systems useful in the methods are also described.","Patent application published",,"2014","No","None",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=545a1495012c51.46869229&grantRef=MC_UU_12009%2F17","http://gtr.rcuk.ac.uk:80/projects?ref=MC_UU_12009/17","CB6AADEB-447A-4CF6-9187-00C1E0BA2DE8","C008C651-F5B0-4859-A334-5F574AB6B57C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","60C77415-2DC0-4359-920E-6BEAA3C15CAB"
"EPSRC","EP/G017301/1","Research Grant","Intellectual Property","Durham University","Engineering and Computing Sciences","Zeze","Dagou","http://orcid.org/0000-0002-6596-5490","Arc Discharge Assembly of Dielectrophoretically Aligned Conductive Particulates","Process development to assemble","Patent application published","GB1408659.9","2014","No","Method for combination of didectrophoretic alignment with plasma disassociation and recombination to adhere conductive particulates together, in which conductive particulate within insulating medium are aligned under dielectrophoretic force",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=54665783e66e06.61514602&grantRef=EP%2FG017301%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/G017301/1","EF8A552C-7A14-4C04-9198-024B82F9BC04","798CB33D-C79E-4578-83F2-72606407192C","46B41008-0EB4-4E28-BBFB-E98366999EC5","D4D1C60D-F6C6-4A6D-B1D8-35E6E809D2F8"
"MRC","G0701121","Research Grant","Intellectual Property","Imperial College London","National Heart and Lung Institute","Leitinger","Birgit","http://orcid.org/0000-0003-2426-1179","Blocking antibodies against DDR1","DDR1 is a novel drug target for a number of human diseases. Function-blocking antibodies against DDR1, which were made prior to the MRC-funded research were characterised with MRC funds. These antibodies have the potential to be developed into therapeutic antibodies that could be used in a number of human diseases where DDR1 is involved in disease progression.","Patent application published","GB1115529.8; WO/2013/034933","2011","No","no impacts yet",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=LgNXf3D7B87&grantRef=G0701121","http://gtr.rcuk.ac.uk:80/projects?ref=G0701121","E5D02058-436A-481D-9B2F-00D93A036CAF","C008C651-F5B0-4859-A334-5F574AB6B57C","46387D84-F71E-4B7D-8C7D-9C288F113510","067002FC-868F-4295-ADF6-AA7494C3EA47"
"EPSRC","EP/H012966/1","Research Grant","Intellectual Property","De Montfort University","Engineering","Oxley","Christopher","","Micro-particle sensor for improved spot infra-red thermal measurements","Micro-particle of high and known surface emissivity enables more accurate temperature measurements on low emissivity metals and multi-level semiconductor materials","Patent application published","GB0821112.0","2010","No","Temperature measurement of medical ultrasonic transducers
Measurement of temperature on gas sensors
Idea transferred to Raman thermography",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56d02b95102e99.48744835&grantRef=EP%2FH012966%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/H012966/1","7D183399-3F92-41B5-8BDC-1365F5F99D9F","798CB33D-C79E-4578-83F2-72606407192C","DF259B19-FD17-4588-BFEF-AD08F1193451","916B6C96-5D45-49D4-A0EE-44FC8FC29FE8"
"STFC","PP/F001118/1","Research Grant","Intellectual Property","University of Glasgow","School of Physics and Astronomy","Hough","James","","Room temperature technique for mechanically robust method of jointing silicon carbide","Room temperature technique for mechanically robust method of jointing silicon carbide","Silicon Carbide bonding","US2007221326A","2007","No","Small contract work with US company",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=50f326797de3a&grantRef=PP%2FF001118%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=PP/F001118/1","B3D785EB-9DC2-4A02-8BC9-0F1E8CBAF0DE","D7F4F462-0518-4784-908A-D12633C139B3","AE58F21F-3622-4382-97BB-1359BD183E9F","1A2C8D33-33A7-4167-B505-5D3343C0FBD1"
"MRC","MC_U105178806","Intramural","Intellectual Property","MRC Laboratory of Molecular Biology",,"Neuberger","Michael","","Method For Generating Diversity 2","Inventors describe a method for selecting hypermutating cells. Claims cover use of such cells for diversification and selection of proteins with properties of interest inside such cells. US 2008193979 (A1)","Patent granted","US2008193979","2008","Yes","Assists in establishment of Anaptys biotechnology company",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=7CAE14314ED&grantRef=MC_U105178806","http://gtr.rcuk.ac.uk:80/projects?ref=MC_U105178806","60591C4C-61E7-415E-AB81-13347951DA42","C008C651-F5B0-4859-A334-5F574AB6B57C","AB7C0822-BBCB-4C61-85EC-5D13C7A31759","DCC98BD2-14E6-4F3D-9F0E-09CA0F45942F"
"BBSRC","BB/F014295/1","Research Grant","Intellectual Property","Rothamsted Research","Plant Biology & Crop Science","Mitchell","Rowan","","A method for decreasing the viscosity of extracts from wheat grain.","Patent application GB1106964.8 based on the genes discovered in the course of the grant work.","Patent granted","GB1106964.8","2013","Commercial In Confidence","Collaboration with wheat breeding company Limagrain which has led to follow-on award and further awards are being sought.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=m-4788808789.83885976674158&grantRef=BB%2FF014295%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=BB/F014295/1","0DB2F876-3B3F-4F03-83E5-12F418C2D7B8","2512EF1C-401B-4222-9869-A770D4C5FAC7","ACD5F1CF-266C-4CDE-A399-43DC93429CF9","680FD3DE-4EE7-4BF7-8D70-1838FE38FD61"
"MRC","G0600275","Research Grant","Intellectual Property","University of Cambridge","Surgery","Pedersen","Roger","","Pluripotent cells from the mammalian late epiblast layer","This invention relates to the isolation and propagation of pluripotent cells isolated from the mammalian late epiblast layer, termed Epiblast Stem Cells' (EpiSCs). These cells are useful in a range of applications.","Patent granted","WO2008056173","2008","No","None to date",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=Rx9r5o6XLsu&grantRef=G0600275","http://gtr.rcuk.ac.uk:80/projects?ref=G0600275","657AF774-1ED6-4B20-96E3-148E3AA5826F","C008C651-F5B0-4859-A334-5F574AB6B57C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","B0E0E482-B6A7-4461-BEF8-24FE249A1158"
"NERC","NE/F017456/1","Research Grant","Intellectual Property","University of Nottingham","Research and Graduate Services","Snape","Colin","","Commercialisation of hydropyrolysis","An exclusive license was granted to Strata Technologies Ltd to manufacture hydropyrolysis units in 2008 and this award has resulted in further sales.","Protection not required",,"","Yes","Further sales of hydropyrolysis equipment.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=54608dd4da94e8.77080180&grantRef=NE%2FF017456%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=NE/F017456/1","318FC7B3-1D0F-4F7A-A4D4-1327CB0AC982","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","936D002F-A8D1-4A93-AE5D-825ED0903D8D","A6204095-EFFA-4756-9FB1-B5DEF5462014"
"MRC","G0701062","Research Grant","Intellectual Property","University of Warwick","Chemistry","Sadler","Peter","","Modulator for a Pharmacological Agent","Modulator for a Pharmacological Agent","Patent application published","GB1215498.5","2012","No","Modulator for a Pharmacological Agent",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56de94a6a324e6.52526339&grantRef=G0701062","http://gtr.rcuk.ac.uk:80/projects?ref=G0701062","98D7904E-2147-4CFE-A14D-10DB4DEA46D3","C008C651-F5B0-4859-A334-5F574AB6B57C","B6FB652A-60C3-48DD-9A33-075D1F759B48","BA3A71C5-069C-419B-8925-117C3DBF37D9"
"MRC","G0401440","Research Grant","Intellectual Property","King's College London","MRC Ctr for Developmental Neurobiology","Tear","Guy Justin Clive","","Comm as method to modulate neuronal function","The amount of active Robo expressed on a cell is modified by modulating the effective amount of a Comm polypeptide in contact with the cell, whereby the amount of expressed active Robo is modulated inversely with the modulation of the effective amount of the Comm polypeptide in contact with the cell. In a particular embodiment, the Comm polypeptide is provided to the cell by exogenously in a pharmaceutically acceptable composition. In another aspect, the invention provides methods of screening for agents which modulate Robo-Comm interactions. These methods generally involve forming a mixture of a Robo-expressing cell, a Comm polypeptide and a candidate agent, and determining the effect of the agent on the amount of Robo expressed by the cell","Patent granted"," WO9925833","2006","Commercial In Confidence","None thusfar",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=soYs9mENieN&grantRef=G0401440","http://gtr.rcuk.ac.uk:80/projects?ref=G0401440","1F9FE8BF-3C7C-433A-8637-14BD4F946446","C008C651-F5B0-4859-A334-5F574AB6B57C","318B5D98-4CB4-4B10-A876-08FC93071A56","B500AC8B-979B-4657-8419-E191805F5614"
"MRC","MR/J014699/1","Research Grant","Intellectual Property","University of Oxford","RDM Clinical Laboratory Sciences","Gill","Deborah","","Recombinant sendai virus vector","This patent is owned by DNAVEC Corp (now ID Pharma Co.) and is Background IP to the MRC project. The patent relates to Recombinant Sendai virus vector for introducing exogenous genes to airway epithelia and claims efficiency of airway epithelial cell entry via Sendai F and HN proteins.","Patent granted","CN1252274","","Yes","This patent is owned by DNAVEC Corp. (now ID Pharma Co.) and forms part of the Core Technology and Background IP. A research and sub-licensable commercial use right under this patent has been granted to Imperial College, Universities of Oxford and Edinburgh, and Imperial Innovations Ltd. 
The patent has also been granted in US (US7314614), Canada ( CA2389743) and Japan ( JP4838962).",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=o7Md4z5drHd&grantRef=MR%2FJ014699%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=MR/J014699/1","0C4815C6-CC5C-4DB6-AF77-1CE07662BD90","C008C651-F5B0-4859-A334-5F574AB6B57C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","1BDFAAA7-0D7C-406F-A660-F243D1D333C9"
"EPSRC","EP/L024020/1","Research Grant","Intellectual Property","University of Bristol","Physics","Rarity","John","","OPTICAL SOURCE","An integrated optical device and method for generating photons by manipulating path entanglement is provided. An integrated optical splitter splits pump light between two interferometer arms wherein each arm comprises a substantially identical photon pair source configured to be able to convert at least one pump light photon into a signal and idler photon pair. An integrated optical combiner device in optical communication with a first and a second optical output path interferes light from the first and second arms and outputs the signal and idler photons by bunching the signal and idler photons together in one of the optical output paths, or anti-bunching the signal photon in one output path and the corresponding idler photon in the other optical output path.","Patent application published","US9235101","2016","Commercial In Confidence","n/a",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56dd9c6a26f924.02135660&grantRef=EP%2FL024020%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/L024020/1","6FCEF4D4-74E2-4243-854A-171B6AAF3B47","798CB33D-C79E-4578-83F2-72606407192C","4A348A76-B2D0-4DDD-804A-CE735A6D3798","04D20737-A582-4385-8482-6DEB35641D07"
"MRC","G0601261","Research Grant","Intellectual Property","University of Oxford","RDM OCDEM","McCarthy","Mark","","~150 common variant signals underlying common diseases","We have contributed (using MRC funds wholy or in part) to identification of many genes influencing T2D, BMI and other related phenotypes (see publications). We regard these discoveries as pre competitive (in line with NIH and other recommendations) and have DELIBERATELY chosen not to seek protection. We regard protection of such discoveries as counter productive from the point of view of biological and translational advance.","Protection not required",,"2007","No","We believe that by sharing these findings as early as possible through publication and without any protection that we support rapid scientific progression and future translational usage.",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=D47B4D2050A&grantRef=G0601261","http://gtr.rcuk.ac.uk:80/projects?ref=G0601261","D322212B-1D71-4306-8E2A-17CCF62870B1","C008C651-F5B0-4859-A334-5F574AB6B57C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","EB134AF9-197A-4970-8C8E-6D9132EBEB02"
"EPSRC","EP/I022570/1","Research Grant","Intellectual Property","University of St Andrews","Chemistry","Bruce","P","","Stable non-aqueous electrolyte promoting ideal reaction process in rechargeable lithium-air batteries","The present invention relates to a lithium-air battery including: a negative electrode containing a negative-electrode active material; a positive electrode using oxygen as a positive-electrode active material; and an electrolyte medium arranged between the negative electrode and the positive electrode; wherein the electrolyte medium includes as primary solvent one or more compounds having an -N-CO- group in the molecule.v","Patent application published",,"2012","No","n/a",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=56e04603cc1d13.75228289&grantRef=EP%2FI022570%2F1","http://gtr.rcuk.ac.uk:80/projects?ref=EP/I022570/1","CDEDF31E-6DBA-4004-9ED8-1046E100F88A","798CB33D-C79E-4578-83F2-72606407192C","C0E4FAD2-3C8B-410A-B6DF-3B9B9E433060","4874A864-7AC1-4873-8DF9-E2515DC65EE7"
"MRC","G0701533","Research Grant","Intellectual Property","Institute of Cancer Research","Division of Radiotherapy and Imaging","Leach","Martin","http://orcid.org/0000-0002-0756-5368","Software for breast cancer analysis","A range of software to analyse MRI breast images, including segmentation and density analysis","Copyrighted (e.g. software)",,"2012","Yes","Demonstration of association between density and breast cancer risk",,"http://gtr.rcuk.ac.uk:80/resources/outcome.html#?type=intellectualproperty&outcomeId=hkteJtcY74B&grantRef=G0701533","http://gtr.rcuk.ac.uk:80/projects?ref=G0701533","631B665D-2B0F-4ACF-8E79-104972E583CA","C008C651-F5B0-4859-A334-5F574AB6B57C","EE34007E-A8DD-4B0A-81BF-56D38AB47C32","43B575F0-8764-4AAF-B842-B09F0D8ED177"
